question,answer,contexts,contexts_ids,ground_truth,goldPassages
Was Abraham Lincoln the sixteenth President of the United States?,"Yes, he was. Lincoln served as the sixteenth president from March 4, 1861, until his assassination in April 1865.","Context: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination",278,yes,
Was Abraham Lincoln the first President of the United States?,"No, he was the sixteenth President of the United States. The context specifies that Abraham Lincoln was the successor to several other presidents before him, with James Buchanan being the immediate past president.","Context: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination",278,No,
Do scholars rank lincoln among the top three presidents?,"Yes, according to the context, scholars do rank Lincoln among the top three U.S. Presidents. This is based on a survey of scholars where the majority placed him first, indicating his significant and lasting influence on U.S. politics.","Context: Scholars now rank Lincoln among the top three U.S. Presidents, with the majority of those surveyed placing him first. He is noted for his lasting influence on U.S. politics, including a redefinition of republicanism",281,Yes,
Who is most noted for his contributions to the theory of molarity and molecular weight?,"Yes, Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto is most noted for his contributions to the theory of molarity and molecular weight. He developed a hypothesis that equal volumes","Context: Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight",725,Amedeo Avogadro,
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"Yes, because as stated in the context, Avogadro's number is commonly used to determine the exact amounts of substances produced in a given reaction. This helps chemists compute and understand the results of chemical reactions.",Context: .  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction,737,yes,
Was Celsius born in Uppsala in Sweden?,"Yes, Celsius was born in Uppsala, Sweden. The context states that he was born in Uppsala, which is a city in Sweden.","Context: Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France",142,Yes,
What happened from 1730 to 1744?,"No, I don't know. The context provided does not include specific details about what happened in the years between 1730 and 1744.","Context: The Royal Proclamation (1763) carved the Province of Quebec out of New France and annexed Cape Breton Island to Nova Scotia. It also restricted the language and religious rights of French Canadians. In 1769, St",2283,He was professor of astronomy at Uppsala University,
What do beetles eat?,"Yes, beetles primarily consume other arthropods and small prey. Ground beetles and rove beetles (family Staphylinidae), among others, feed on various arthropods, earthworm","Context: . Ground beetles and rove beetles (family Staphylinidae), among others, are primarily carnivorous and will catch and consume many other arthropods and small prey such as earthworms and snails",2412,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",
Is the Adephaga suborder larger than the Polyphaga suborder?,"No, Polyphaga is larger. This is mentioned in the context, where it states that Polyphaga and Myxophaga are thought to be more closely related, with Adephaga as a sister group to those two. The im","Context: . Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively",2422,no,
Have coleopterists formed organisations to facilitate the study of beetles ?,"Yes, because the study of beetles is called coleopterology, and those who specialize in this field are called coleopterists. The context indicates that these professionals have indeed formed organizations to support their research and studies on beet","Context: The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles",2440,Yes.,
When did Coolidge meet and marry Grace Anna Goodhue?,"Yes, Coolidge met and married Grace Anna Goodhue in 1905. The text states that they met in 1905 and were opposites in personality, implying that this is when they got married.","Context: In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious",407,1905,
Where did Coolidge's grandfather had government offices?,"Yes, Coolidge's grandfather held local government offices in Plymouth. This information is explicitly stated in the context.","Context: Coolidge's grandfather, Calvin Coolidge, held some local government offices in Plymouth and was best remembered as a man with ""a fondness for practical jokes"". Fuess, 14  His grandmother, Sarah Brewer, was also of New England",404,Plymouth,
What fraternity was Coolidge a member of?,"Yes, Coolidge was a member of the Fraternity of Phi Gamma Delta. This information is explicitly stated in the context.","Context: . At Amherst, Coolidge became a member of the Fraternity of Phi Gamma Delta and joined the College Republicans in 1892. White, 35  While there, Coolidge met Dwight Morrow, who would become a life-long friend",405,Phi Gamma Delta,
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?","Yes, Samuel de Champlain established a settlement in Quebec City. In 1608, he founded the city of Quebec which would become the capital of New France, later Canada, and was one of the earliest permanent European settlements in",Context: French explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada,2280,Quebec City,
