question,answer,contexts,contexts_ids,ground_truth,goldPassages
Was Abraham Lincoln the sixteenth President of the United States?,"Yes, he was. Lincoln served as the sixteenth president from March 4, 1861, until his assassination in April 1865.","Context: Abraham Lincoln (February 12, 1809 â April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination",278,yes,
Was Abraham Lincoln the first President of the United States?,"No, George Washington was the first President of the United States. The context specifically mentions that Abraham Lincoln was the 16th President of the United States, not the first.","Context: .""  Abe Lincoln resource page",301,No,
Do scholars rank lincoln among the top three presidents?,"No, historians typically do not rank Lincoln among the top three presidents. While Lincoln is often included in lists of great presidents, he is usually ranked below or around Roosevelt, who is typically ranked among the top five. This information is provided","Context: ."" Historians typically rank Roosevelt among the top five presidents. The Rector and Visitors of the University of Virginia (2005).  ""Biography: Impact and Legacy"". Retrieved March 7 2006.   ""Legacy"". Retrieved March 7 2006.",3015,Yes,
Who is most noted for his contributions to the theory of molarity and molecular weight?,"Yes, Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto is most noted for his contributions to the theory of molarity and molecular weight. This is because he developed the concept","Context: Lorenzo Romano Amedeo Carlo Avogadro, Count of Quaregna and Cerreto (August 9, 1776 July 9, 1856) was an Italian savant.  He is most noted for his contributions to the theory of molarity and molecular weight",725,Amedeo Avogadro,
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,"Yes, because as stated in the context, Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction.",Context: .  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction.,737,yes,
Was Celsius born in Uppsala in Sweden?,"Yes, Celsius was born in Uppsala, Sweden. This is explicitly stated in the provided context.","Context: Celsius was born in Uppsala in Sweden. He was professor of astronomy at Uppsala University from 1730 to 1744, but traveled from 1732 to 1735 visiting notable observatories in Germany, Italy and France.",142,Yes,
What happened from 1730 to 1744?,"No, the context does not provide information about what happened from 1730 to 1744. The context begins with Rev. Dr. Richard L. Hills' time in Scotland, which started in 1736.","Context: *Hills, Rev. Dr. Richard L., James Watt, Vol 1, His time in Scotland, 1736-1774 (2002); Vol 2, The years of toil, 1775-1785; Vol 3 Triumph through adversity 1785-1819.  Landmark Publishing Ltd, ISBN 1-84306-045-0.",1989,He was professor of astronomy at Uppsala University,
What do beetles eat?,"Yes, beetles primarily consume other arthropods and small prey. Ground beetles and rove beetles (family Staphylinidae), among others, feed on various arthropods, earthworm","Context: . Ground beetles and rove beetles (family Staphylinidae), among others, are primarily carnivorous and will catch and consume many other arthropods and small prey such as earthworms and snails",2412,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",
Is the Adephaga suborder larger than the Polyphaga suborder?,"No, based on general knowledge of beetle systematics, Polyphaga is a much larger group than Adephaga. This is because Polyphaga contains many familiar and diverse beetle families, while Adephaga has","Context: . Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.",2422,no,
Have coleopterists formed organisations to facilitate the study of beetles ?,"Yes, because the study of beetles is called coleopterology, and those who specialize in this field are called coleopterists. These professionals have indeed formed organizations dedicated to facilitating the study of beetles. This information","Context: The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles",2440,Yes.,
